"number","author","designation","first_response_at","days_to_first_response","first_responder"
48596,"AestheticAkhmad","stale-risk","2025-12-21 10:39:21",2.58508101851852,"lidavidm"
48048,"Aiee","abandoned","2025-11-05 08:05:37",0.8596875,"raulcd"
46530,"Alex-PLACET","abandoned","2025-05-28 02:03:20",6.62841435185185,"kou"
49080,"AliRana30","stale-risk","2026-01-30 10:24:18",0.000717592592592593,"HyukjinKwon"
49095,"Alvaro-Kothe","stale-risk","2026-01-31 21:06:36",0.747777777777778,"WillAyd"
49298,"Anakin100100","recent",NA,NA,NA
46789,"AntoinePrv","abandoned","2025-06-12 09:54:40",0.0186921296296296,"raulcd"
46921,"Antropovi","abandoned","2025-06-26 14:59:48",0.0355439814814815,"lidavidm"
48656,"Aokizy2","stale-risk","2026-01-02 05:04:20",7.09783564814815,"rustyconover"
49180,"Arbaaz123676","no-review",NA,NA,NA
47522,"Arkur745","abandoned","2025-09-08 02:23:57",0.267106481481481,"kou"
48232,"ArnavBalyan","abandoned","2025-11-25 02:10:02",1.50140046296296,"wgtmac"
49516,"BillionClaw","recent",NA,NA,NA
47328,"BwL1289","stale-risk","2025-08-14 04:15:06",0.372071759259259,"kou"
49483,"CT811","recent",NA,NA,NA
46257,"CenluChen","active","2026-03-29 17:02:26",334.519155092593,"thisisnic"
48086,"CytoShahar","abandoned","2025-11-14 13:52:04",5.41878472222222,"thisisnic"
48731,"DavisVaughan","stale-risk","2026-01-07 16:26:58",1.55895833333333,"jonkeane"
49550,"Desel72","recent",NA,NA,NA
46493,"Djjanks","stale-risk","2025-05-18 17:11:46",0.021712962962963,"domoritz"
49443,"Ebraam-Ashraf","recent",NA,NA,NA
48324,"EslamAhmed171","abandoned","2025-12-23 08:06:56",19.1122685185185,"AlenkaF"
48192,"Ext3h","stale-risk","2025-11-20 15:26:38",0.0153009259259259,"felipecrv"
49106,"FrenchCommando","no-review",NA,NA,NA
49432,"GavkareShubham","recent",NA,NA,NA
44354,"GeniusTimo","abandoned","2024-10-10 06:10:26",0.520185185185185,"kou"
44670,"GeorgKreuzmayr","abandoned","2024-11-07 08:37:25",0.00914351851851852,"mapleFU"
49162,"Gnananjali","no-review",NA,NA,NA
44783,"HackPoint","abandoned","2024-11-18 17:52:28",0.00780092592592593,"CurtHagenlocher"
47427,"HuaHuaY","stale-risk","2025-08-26 16:23:11",0.169814814814815,"wgtmac"
46415,"HyunWooZZ","no-review",NA,NA,NA
44537,"IndexSeek","abandoned","2024-10-26 22:02:31",0.340543981481481,"kou"
49128,"IsabelParedes","stale-risk","2026-02-03 14:22:36",0.0445717592592593,"jonkeane"
45443,"JOBIN-SABU","stale-risk","2025-02-06 14:10:23",0.309791666666667,"raulcd"
47503,"JesseLovelace","abandoned","2025-09-05 16:53:06",0.932523148148148,"raulcd"
48431,"Jiayi-Wang-db","active","2025-12-11 18:49:34",1.09711805555556,"rok"
48614,"Jonahkel","stale-risk","2025-12-22 02:03:25",0.909247685185185,"lidavidm"
47272,"JonasDann","no-review",NA,NA,NA
48289,"JonatanMartens","stale-risk","2025-12-04 09:54:33",4.88362268518518,"raulcd"
45268,"Joob1n","abandoned","2025-01-15 09:30:04",0.00648148148148148,"mapleFU"
46234,"JoshuaOloton","abandoned","2025-04-27 07:05:40",0.314212962962963,"mapleFU"
46837,"KirillTsyganov","abandoned","2025-06-17 15:32:32",0.0404050925925926,"raulcd"
43977,"Kontinuation","abandoned","2024-09-07 17:13:34",1.57662037037037,"wgtmac"
47681,"Kripa21","no-review",NA,NA,NA
48255,"Kuinox","active","2025-12-23 09:49:47",27.6974652777778,"AlenkaF"
48063,"Lancern","abandoned","2025-11-26 15:57:05",21.0198958333333,"pitrou"
46553,"Lukasdoe","abandoned","2025-05-22 11:38:17",0.0841898148148148,"kou"
44434,"Lukedowling444","abandoned","2024-10-16 08:16:17",0.173715277777778,"ghost"
48788,"Manas103","stale-risk","2026-01-08 14:37:32",0.0892013888888889,"raulcd"
46353,"MetalBlueberry","abandoned","2025-05-08 07:24:51",0.615613425925926,"kou"
48840,"Moohan","active","2026-01-13 23:06:07",0.475439814814815,"HyukjinKwon"
46330,"Mottl","abandoned","2025-05-06 09:42:29",0.0401736111111111,"raulcd"
48539,"MugundanMCW","active","2025-12-16 08:21:10",1.06171296296296,"raulcd"
46034,"MuteBardTison","abandoned","2025-04-07 09:41:25",2.56835648148148,"kou"
46651,"NazilaAk","abandoned","2025-06-02 15:50:35",2.70524305555556,"jonkeane"
44751,"Palash-Ha","no-review",NA,NA,NA
47860,"Pear0","abandoned","2025-10-20 08:43:35",0.204502314814815,"pitrou"
44171,"Piong1997","abandoned","2024-09-19 14:56:58",0.190127314814815,"jorisvandenbossche"
49210,"PratyushD21","stale-risk","2026-02-10 07:27:27",0.164479166666667,"alippai"
47511,"Princetimix69","abandoned","2025-09-05 09:54:04",0.00636574074074074,"thisisnic"
44768,"QuLogic","abandoned","2024-11-18 12:59:56",0.143900462962963,"mapleFU"
48852,"RUSLoker","active","2026-01-14 09:52:55",0.0276388888888889,"raulcd"
48899,"Reranko05","stale-risk","2026-01-20 16:03:38",1.08717592592593,"raulcd"
47488,"SHARANcanCODE","abandoned","2025-09-12 06:46:39",8.51976851851852,"AlenkaF"
49342,"SYaoJun","recent",NA,NA,NA
48233,"Sansfear87","abandoned","2025-11-23 17:16:42",0.0774421296296296,"AlenkaF"
46840,"Sevenannn","no-review",NA,NA,NA
45539,"Shivani622","abandoned","2025-02-17 08:48:33",2.66864583333333,"pitrou"
49289,"ShreyeshArangath","recent",NA,NA,NA
47894,"Smith-Cruise","abandoned","2025-10-21 16:54:27",0.0433912037037037,"pitrou"
47087,"SoundBot","abandoned","2025-07-14 09:28:20",2.18017361111111,"AlenkaF"
46926,"Taepper","active","2025-07-01 10:41:56",3.89513888888889,"pitrou"
47497,"TennyZhuang","abandoned","2025-09-04 15:46:41",0.212361111111111,"pitrou"
45554,"Twon","abandoned","2025-02-17 14:29:24",0.00684027777777778,"wgtmac"
47612,"Username46786","no-review",NA,NA,NA
48166,"Vishwanatha-HD","abandoned","2025-11-20 00:41:28",1.45061342592593,"kou"
47270,"X-Lemon-X","abandoned","2025-08-18 11:29:58",11.0038773148148,"raulcd"
47420,"YKoustubhRao","abandoned","2025-08-25 01:46:14",1.60857638888889,"kou"
44497,"Yimche","abandoned","2024-10-22 22:45:59",0.742175925925926,"kou"
47004,"ZENOTME","abandoned","2025-07-09 12:14:19",2.93627314814815,"pitrou"
47593,"aLVINlEE9","stale-risk","2025-09-18 08:57:44",0.164641203703704,"pitrou"
49152,"aayush-1o","no-review",NA,NA,NA
48975,"abhishek593","stale-risk","2026-02-16 10:58:29",22.6240740740741,"pitrou"
45013,"adrienpacifico","abandoned","2024-12-13 10:20:20",0.729340277777778,"AlenkaF"
45072,"agriyakhetarpal","stale-risk","2024-12-19 02:13:06",0.154953703703704,"kou"
47835,"aihuaxu","abandoned","2025-10-16 19:52:32",0.0413773148148148,"sfc-gh-ebrossard"
45022,"akesling","abandoned","2024-12-18 00:58:52",4.28393518518519,"kou"
44005,"akielaries","abandoned","2024-09-17 14:29:23",8.68608796296296,"pitrou"
48867,"akravchukdremio","stale-risk","2026-01-21 18:31:13",6.19768518518519,"xxlaykxx"
45609,"alexdegroot","abandoned","2025-03-03 04:17:38",6.70611111111111,"CurtHagenlocher"
46005,"alinaliBQ","no-review",NA,NA,NA
45577,"andishgar","abandoned","2025-02-22 10:47:14",2.83810185185185,"mapleFU"
44586,"anreetka","no-review",NA,NA,NA
47462,"argmarco-tkd","no-review",NA,NA,NA
48732,"aryan-cloud","stale-risk","2026-01-09 03:46:36",3.0253587962963,"HuaHuaY"
49513,"aryansri05","recent",NA,NA,NA
45719,"atsyplenkov","abandoned","2025-03-10 14:18:42",0.670381944444444,"jonkeane"
45174,"attilajeges","abandoned","2025-01-06 03:09:21",1.28291666666667,"kou"
44538,"attwelveDev","abandoned","2024-10-27 01:54:38",0.509247685185185,"ghost"
45031,"avitase","abandoned","2024-12-16 00:48:44",0.488414351851852,"kou"
47610,"ayushbansal07","abandoned","2025-09-22 09:11:45",0.735243055555556,"pitrou"
47114,"behrisch","abandoned","2025-07-16 03:05:42",0.423587962962963,"wgtmac"
49515,"bhavanaeh","recent",NA,NA,NA
45873,"bipin-lekhak","abandoned","2025-03-21 09:21:28",0.713206018518519,"raulcd"
47086,"blacha","stale-risk","2025-07-16 08:10:08",4.28893518518518,"pitrou"
48692,"boneanxs","stale-risk","2026-01-07 03:24:22",7.95788194444444,"wgtmac"
44984,"brad0","abandoned","2024-12-11 00:34:29",1.08471064814815,"kou"
44720,"bretttully","stale-risk","2024-11-14 20:08:26",0.838217592592593,"jorisvandenbossche"
46408,"brunal","abandoned","2025-05-19 10:20:29",6.67549768518519,"pitrou"
45881,"bw513","abandoned","2025-03-21 22:46:31",0.365833333333333,"kou"
44747,"c8ef","abandoned","2024-11-18 00:42:24",1.43350694444444,"kou"
44539,"caicancai","abandoned","2024-10-27 07:58:26",0.654189814814815,"lidavidm"
45558,"calluste","abandoned","2025-02-18 02:53:02",0.318796296296296,"mapleFU"
49353,"canassa","recent",NA,NA,NA
48984,"cbb330","no-review",NA,NA,NA
47661,"cgiachalis","abandoned","2025-09-30 21:05:00",4.59021990740741,"jonkeane"
48615,"chakkk309","active","2025-12-23 13:20:06",2.22221064814815,"WillAyd"
46354,"chaubold","abandoned","2025-05-07 17:30:02",0.0124652777777778,"rok"
48299,"chegoryu","abandoned","2025-12-02 01:34:12",0.296412037037037,"wgtmac"
45629,"chilin0525","abandoned","2025-02-26 00:00:46",0.270474537037037,"kou"
48274,"chiranmoyf","active","2025-11-28 09:49:17",0.967407407407407,"raulcd"
45805,"christian-heusel","abandoned","2025-03-15 13:23:28",0.0562152777777778,"assignUser"
45466,"chrisxu333","abandoned","2025-02-10 14:30:11",2.97454861111111,"pitrou"
45753,"cmettler","abandoned","2025-03-12 19:19:21",1.03347222222222,"amoeba"
45372,"colin-r-schultz","abandoned","2025-01-29 09:37:05",0.619490740740741,"mapleFU"
47531,"corpoverlords","abandoned","2025-09-11 03:26:49",2.31708333333333,"kou"
47898,"cottrell","stale-risk","2025-10-24 07:26:09",2.58662037037037,"AlenkaF"
44139,"coussens","no-review",NA,NA,NA
46126,"cramosme","abandoned","2025-06-02 09:54:46",49.7311921296296,"pitrou"
46298,"cristekdatum","abandoned","2025-05-03 01:19:09",0.113194444444444,"kou"
43938,"crystalxyz","abandoned","2024-09-04 09:28:08",0.584849537037037,"AlenkaF"
45231,"curioustien","abandoned","2025-01-13 09:58:10",1.38222222222222,"pitrou"
47815,"dahbka-lis","abandoned","2025-10-18 11:45:20",3.97677083333333,"raulcd"
45223,"danking","abandoned","2025-01-11 21:44:53",1.04917824074074,"kou"
45319,"davidkhala","no-review",NA,NA,NA
45472,"deekshatomer","abandoned","2025-02-10 10:05:07",0.280428240740741,"raulcd"
44299,"dimitridim8","abandoned","2024-10-06 18:31:06",2.7333912037037,"raulcd"
46755,"dinse","abandoned","2025-06-10 08:36:31",0.378333333333333,"pitrou"
49421,"dmitry-chirkov-dremio","recent",NA,NA,NA
44331,"doki23","stale-risk","2024-10-08 11:55:07",0.278784722222222,"kou"
49540,"domibel","recent",NA,NA,NA
47457,"dsevilla","no-review",NA,NA,NA
47199,"egolearner","abandoned","2025-07-29 16:08:47",3.44809027777778,"rok"
44622,"emmanuel-ferdman","abandoned","2024-11-03 02:02:50",0.820428240740741,"kou"
49498,"ennuite","recent",NA,NA,NA
49372,"ernestprovo23","recent",NA,NA,NA
44755,"evetion","abandoned","2024-11-17 23:14:27",0.2934375,"kou"
48886,"fangchenli","stale-risk","2026-01-20 14:04:58",1.24193287037037,"raulcd"
48939,"fenfeng9","stale-risk","2026-01-22 08:06:44",0.0193634259259259,"kou"
48140,"feuillatte","abandoned","2025-11-17 08:38:26",1.42280092592593,"raulcd"
45123,"freddie-freeloader","abandoned","2024-12-31 03:05:04",1.67356481481481,"kou"
48813,"gabrielsimoes","stale-risk","2026-01-12 16:46:04",1.91131944444444,"pitrou"
44469,"gaording","abandoned","2024-10-18 13:20:35",0.0762731481481481,"raulcd"
46579,"geonove","no-review",NA,NA,NA
44238,"georgevanburgh","abandoned","2024-09-26 13:22:31",0.0955787037037037,"CurtHagenlocher"
45658,"gibbyfree","abandoned","2025-03-04 03:40:48",0.000833333333333333,"mapleFU"
45400,"gitmodimo","abandoned","2025-04-28 11:32:29",86.9389467592593,"raulcd"
47150,"gmarkall","abandoned","2025-07-21 15:33:30",0.116435185185185,"raulcd"
46078,"gmcrocetti","abandoned","2025-04-21 17:10:56",11.8326157407407,"markasoftware-aqtc"
49556,"gounthar","recent",NA,NA,NA
44033,"grantmcdermott","abandoned","2024-09-10 03:57:21",0.131770833333333,"eitsupi"
48963,"guillaume-rochette-oxb","stale-risk","2026-01-28 08:48:51",4.77157407407407,"AlenkaF"
46874,"hadrian-reppas","abandoned","2025-06-20 21:22:20",0.17474537037037,"kou"
47935,"haianhng31","abandoned","2025-12-19 18:59:41",55.6314351851852,"thisisnic"
45602,"hangc0276","abandoned","2025-02-22 20:50:35",0.772060185185185,"kou"
47922,"harshkumar-2005","stale-risk","2026-02-03 10:47:59",102.827881944444,"pitrou"
43968,"hellishfire","abandoned","2024-09-05 10:32:58",0.0229282407407407,"vibhatha"
44969,"helloitsheqing","no-review",NA,NA,NA
44427,"hiroyuki-sato","abandoned","2024-10-16 02:51:28",0.0307523148148148,"kou"
48719,"hyangminj","stale-risk","2026-01-05 08:36:48",0.776261574074074,"AlenkaF"
48584,"hypsakata","stale-risk","2025-12-19 01:37:23",0.660138888888889,"kou"
46590,"iabhi4","abandoned","2025-05-27 01:47:13",0.162708333333333,"kou"
44477,"igor-anferov","abandoned","2024-10-21 09:23:58",1.503125,"pitrou"
48611,"imraniac","stale-risk","2026-01-12 16:09:08",23.0855555555556,"pitrou"
45679,"inteera","abandoned","2025-03-05 23:59:48",0.438356481481481,"kou"
45706,"jabbera","abandoned","2025-03-08 05:12:02",0.110868055555556,"kou"
47931,"jecsand838","abandoned","2025-10-27 08:45:47",3.2050462962963,"mbrobbel"
47132,"jeremycostanzo","no-review",NA,NA,NA
47779,"jgiannuzzi","stale-risk","2025-10-11 12:57:30",0.881840277777778,"kou"
48836,"jiaqizho","no-review",NA,NA,NA
48967,"jmao-denver","stale-risk","2026-01-24 06:23:20",0.618935185185185,"lidavidm"
47454,"jo-migo","abandoned","2025-09-09 07:54:54",11.5991435185185,"AlenkaF"
45465,"jonded94","no-review",NA,NA,NA
48249,"justeph","abandoned","2025-11-25 10:44:26",0.0500115740740741,"raulcd"
47658,"justing-bq","abandoned","2025-10-01 14:07:08",5.82903935185185,"lidavidm"
48212,"k8ika0s","no-review",NA,NA,NA
46591,"kahemker","abandoned","2025-05-27 01:49:58",0.162673611111111,"kou"
46202,"kapoisu","abandoned","2025-04-22 16:32:44",0.00239583333333333,"mapleFU"
44536,"kassane","stale-risk","2024-10-26 12:44:39",0.0142708333333333,"kou"
47251,"kennedynguyen1","no-review",NA,NA,NA
46793,"kilavvy","abandoned","2025-12-19 18:56:56",190.275648148148,"thisisnic"
47198,"killerdevildog","no-review",NA,NA,NA
46003,"kjgilder","active","2025-04-02 08:48:14",0.618020833333333,"AlenkaF"
46057,"koenvo","abandoned","2025-04-08 15:10:18",0.00119212962962963,"Fokko"
49512,"kris-gaudel","recent",NA,NA,NA
49414,"kriyanshii","recent",NA,NA,NA
48534,"krupakargurije","stale-risk","2026-01-20 14:55:19",36.9425694444444,"ianmcook"
45376,"ksanjanashenoy-hub","abandoned","2025-01-29 14:11:20",0.123703703703704,"raulcd"
47161,"kxxt","no-review",NA,NA,NA
45191,"lahwaacz","stale-risk","2025-05-04 09:43:41",116.675208333333,"kou"
49256,"larry77","stale-risk","2026-02-13 13:09:34",0.979664351851852,"thisisnic"
46783,"leopardracer","abandoned","2025-06-11 19:52:27",0.061412037037037,"mbrobbel"
45533,"lesterfan","abandoned","2025-04-02 11:02:27",47.5968981481481,"pitrou"
46190,"m-v-w","abandoned","2025-05-22 03:38:43",30.2303356481481,"adamreeve"
44807,"malinjawi","abandoned","2024-11-21 19:56:11",0.0613657407407407,"kou"
49343,"marberts","recent",NA,NA,NA
47011,"marcin-krystianc","abandoned","2025-07-08 00:04:25",0.435983796296296,"CurtHagenlocher"
46110,"mateuszrzeszutek","abandoned","2025-04-11 11:10:49",0.0476851851851852,"raulcd"
47563,"matshch","abandoned","2025-09-16 02:41:13",0.352650462962963,"kou"
45384,"mcshawn10","abandoned","2025-01-31 17:09:11",1.77104166666667,"mapleFU"
46506,"mderoy","abandoned","2025-06-05 13:26:04",16.794849537037,"pitrou"
44057,"mdianjun","abandoned","2024-09-11 03:43:58",0.00208333333333333,"mapleFU"
48789,"meher745","stale-risk","2026-01-08 14:31:40",0.0705092592592593,"raulcd"
46753,"mgrazianoc","stale-risk","2025-06-09 21:42:56",0.1371875,"kou"
48141,"mkillik-wayspring","abandoned","2025-11-18 01:11:20",1.37944444444444,"kou"
48792,"mohit7705","stale-risk","2026-01-09 05:41:29",0.366979166666667,"HyukjinKwon"
46997,"mootari","abandoned","2025-07-05 21:24:24",0.462349537037037,"kou"
47379,"mpelko","no-review",NA,NA,NA
44083,"mroz45","abandoned","2024-10-06 15:13:58",24.0553587962963,"westonpace"
44880,"msebbah","abandoned","2024-11-29 00:04:44",0.400150462962963,"kou"
44627,"myegorov","abandoned","2024-11-03 02:02:49",0.0321064814814815,"vibhatha"
44766,"nalyat","stale-risk","2024-12-01 06:28:01",12.9222337962963,"kou"
48971,"nateprewitt","stale-risk","2026-01-24 08:59:54",0.664409722222222,"h-vetinari"
45374,"neilechao","no-review",NA,NA,NA
45470,"nveloso","stale-risk","2025-02-10 00:57:02",0.463993055555556,"kou"
49135,"nwoolmer","stale-risk","2026-02-04 08:14:09",0.23556712962963,"AlenkaF"
46335,"omahs","abandoned","2025-05-08 00:34:44",1.5069212962963,"kou"
49475,"omertt27","recent",NA,NA,NA
45487,"orchestr7","abandoned","2025-02-10 21:55:26",0.433981481481481,"kou"
47141,"paddyroddy","abandoned","2025-07-20 11:03:57",0.0627777777777778,"rok"
45084,"pan-x-c","abandoned","2025-02-05 13:47:09",47.3301736111111,"pitrou"
48027,"paultiq","abandoned","2025-11-04 11:05:03",0.899479166666667,"raulcd"
48009,"pfparsons","abandoned","2025-11-05 08:02:15",5.34096064814815,"raulcd"
44437,"piratepanda805","no-review",NA,NA,NA
49590,"piyushka-ally","recent",NA,NA,NA
48635,"poshul","stale-risk","2026-02-01 21:36:28",40.2884606481481,"emkornfield"
45323,"protokoul","stale-risk","2025-01-21 16:08:22",0.00497685185185185,"raulcd"
48345,"prtkgaur","stale-risk","2025-12-08 14:04:09",3.56972222222222,"alamb"
49554,"pucke-dev","recent",NA,NA,NA
44739,"pulkomandy","abandoned","2024-11-15 12:15:09",0.00185185185185185,"mapleFU"
45973,"pw42020","abandoned","2025-03-31 04:25:18",1.16673611111111,"kevingurney"
46749,"ranjitshs","stale-risk","2025-06-10 02:37:24",0.619305555555556,"kou"
47139,"rmnskb","abandoned","2025-07-19 21:39:31",0.203009259259259,"rok"
45458,"robcao","abandoned","2025-02-08 16:45:17",1.62990740740741,"CurtHagenlocher"
47418,"robert3005","active","2025-11-07 10:39:40",76.4034143518519,"alamb"
45365,"robertwb","abandoned","2025-01-28 00:29:33",0.00512731481481481,"WillAyd"
44228,"robomics","no-review",NA,NA,NA
49163,"robsdedude","active","2026-02-11 09:11:50",4.87278935185185,"AlenkaF"
45170,"robvanmieghem","abandoned","2025-01-06 10:57:09",2.01204861111111,"pitrou"
46150,"rscales","no-review",NA,NA,NA
48607,"rupprecht","abandoned","2025-12-21 10:50:27",1.33405092592593,"lidavidm"
47231,"ryanvo504","abandoned","2025-08-05 06:42:08",5.88288194444444,"kou"
48716,"rynewang","no-review",NA,NA,NA
44245,"saavedra","abandoned","2025-12-19 18:25:51",448.188252314815,"thisisnic"
48156,"saksham-k027","no-review",NA,NA,NA
44965,"samuelpwlim","abandoned","2024-12-09 01:43:51",0.19599537037037,"kou"
47604,"sanjay20m","abandoned","2025-09-23 16:42:04",4.00082175925926,"raulcd"
48171,"scott-routledge2","abandoned","2025-11-19 19:06:12",0.726087962962963,"felipecrv"
48258,"scw","abandoned","2025-11-26 10:23:30",0.131701388888889,"raulcd"
48002,"serramatutu","abandoned","2025-10-30 17:03:20",0.234340277777778,"rok"
47498,"severo","no-review",NA,NA,NA
44517,"sgonyea","active","2024-10-23 23:11:26",0.0184953703703704,"domoritz"
48854,"shashbha14","stale-risk","2026-01-14 17:20:40",0.29099537037037,"jonkeane"
49253,"shr3yas-k","no-review",NA,NA,NA
46732,"shu-kitamura","abandoned","2025-06-06 19:39:24",0.0527546296296296,"AlenkaF"
48763,"shubhamkoti","stale-risk","2026-01-09 07:34:10",1.75402777777778,"HuaHuaY"
44169,"sidneymau","abandoned","2025-10-06 23:06:42",382.721944444444,"rok"
47599,"simonelbaz","abandoned","2025-10-13 09:45:52",24.4945833333333,"thisisnic"
46129,"singh1203","stale-risk","2025-05-05 17:38:38",21.2195023148148,"pitrou"
47197,"skarhade22","abandoned","2025-07-26 23:33:57",1.13605324074074,"kou"
46430,"sofia-tekdatum","abandoned","2025-05-14 08:26:25",0.458078703703704,"rok"
47142,"soroushrasti","no-review",NA,NA,NA
48088,"starpit","abandoned","2025-11-09 22:38:59",0.041875,"raulcd"
45712,"sumimakito","abandoned","2025-03-09 18:00:58",1.13113425925926,"trxcllnt"
47439,"sven-weber","no-review",NA,NA,NA
44247,"swallez","abandoned","2024-09-28 16:26:57",0.851759259259259,"domoritz"
48117,"tadeja","abandoned","2025-11-13 10:32:49",0.489201388888889,"dangotbanned"
46191,"tchughesiv","abandoned","2025-04-22 01:57:29",0.101689814814815,"kou"
48377,"tennisleng","abandoned","2025-12-11 09:46:50",4.66260416666667,"zanmato1984"
46624,"thompson-tomo","abandoned","2025-05-28 22:00:19",0.451354166666667,"kou"
45109,"timgrein","abandoned","2024-12-27 14:40:51",1.67179398148148,"zanmato1984"
45052,"tks1197","abandoned","2024-12-17 20:21:45",0.133020833333333,"kou"
44385,"tomjakubowski","abandoned","2024-10-12 09:57:05",0.558055555555556,"kou"
44494,"trifleneurotic","no-review",NA,NA,NA
45918,"uchenily","abandoned","2025-03-25 05:38:03",0.133541666666667,"zanmato1984"
44312,"uhussain11","no-review",NA,NA,NA
49297,"vanshaj2023","recent",NA,NA,NA
49373,"veeceey","recent",NA,NA,NA
47411,"vidhyarbiji","abandoned","2025-08-27 16:44:43",5.25119212962963,"amoeba"
46567,"viky-01","abandoned","2025-05-26 18:07:29",3.55123842592593,"raulcd"
47663,"vladborovtsov","active","2025-10-24 10:08:06",26.856412037037,"AlenkaF"
44633,"vthemelis","abandoned","2024-11-06 12:38:29",1.940625,"CurtHagenlocher"
48073,"waruto210","stale-risk","2026-01-02 07:11:54",57.0614699074074,"kou"
48468,"wecharyu","active","2025-12-12 09:12:47",0.0528472222222222,"tusharbhatt7"
44175,"wiedld","abandoned","2024-09-20 09:27:33",0.330081018518519,"kou"
47350,"wingkitlee0","stale-risk","2025-08-18 13:17:53",1.61895833333333,"raulcd"
47843,"wlhjason","stale-risk","2025-10-28 10:50:34",10.9969675925926,"pitrou"
46566,"xingyu-long","abandoned","2025-05-23 09:32:46",0.197141203703704,"AlenkaF"
44390,"xx-derek","abandoned","2024-10-14 02:45:41",1.45327546296296,"lidavidm"
45251,"yaooqinn","abandoned","2025-01-17 17:14:52",3.54702546296296,"trxcllnt"
48669,"yashwantbezawada","no-review",NA,NA,NA
46759,"yurivict","abandoned","2025-06-10 08:03:45",0.158125,"kou"
46170,"yysd5","abandoned","2025-04-17 10:23:08",0.691979166666667,"AlenkaF"
48640,"zhengruifeng","stale-risk","2026-01-05 08:42:57",12.2242592592593,"AlenkaF"
44191,"zuyu","stale-risk","2024-09-23 13:34:42",0.00203703703703704,"ursabot"
